name,credit_card,email,url,phone,address,company,ssn,text,True Predictions
Christina Sims,"Mastercard
William Stafford
5446878656651726 10/27
CVV: 319
",michael26@example.org,https://www.fitzgerald.com/,+834 6487445519,"117 Carla Ports Apt. 869
Mooreborough, OK 94360","Martin, Odom and Clark",351-91-4849,"The complete report for Martin, Odom and Clark is available at https://www.fitzgerald.com/.","[(63, 90, 'url'), (24, 46, 'company')]"
Olivia Barton,"Mastercard
Phillip Solomon
2235046852399928 09/31
CVV: 997
",selenashelton@example.org,http://miller.biz/,+85 4672460030,"34838 Mitchell Branch
Coreyport, ND 86735","Warner, Watson and Smith",631-11-7677,Contact Olivia Barton at selenashelton@example.org or +85 4672460030.,"[(8, 21, 'name'), (25, 50, 'email'), (54, 68, 'phone')]"
Jacqueline Williams,"Maestro
Kristin Diaz
060438701637 10/34
CVV: 105
",bergerjohn@example.org,https://hawkins.com/,+44 0089602305,"45770 Zachary Circles
Johnfort, MP 11638",Campbell-Banks,850-80-6492,"Payment made by Jacqueline Williams using card Maestro
Kristin Diaz
060438701637 10/34
CVV: 105
.","[(16, 35, 'name'), (47, 96, 'credit_card')]"
John Hall,"VISA 19 digit
Jeremy Wells
4826532454817230055 01/35
CVC: 227
",donald55@example.org,http://smith.net/,+91 3283702876,"969 Lawrence Terrace Suite 246
Lake Jennifer, CO 06010",Griffin-Keith,006-51-7859,"The address is 969 Lawrence Terrace Suite 246
Lake Jennifer, CO 06010","[(15, 69, 'address')]"
Ian Nolan,"JCB 15 digit
Rick Hansen
213123305229224 01/27
CVC: 791
",dblack@example.com,https://www.rodriguez-rogers.com/,+91 2703439560,"10755 Kim Rue
Amybury, GU 23503","Shepherd, Sampson and Wolf",288-85-3850,SSN 288-85-3850 is required,"[(4, 15, 'ssn')]"
Kathy Jackson,"VISA 13 digit
Jessica Morgan
4022221701139 03/35
CVC: 259
",dcraig@example.org,http://www.flynn-ramirez.com/,+512 7797346637,"01611 Janet Square
East Rogershire, LA 49490",Snyder Ltd,588-17-8887,"Invoice for Snyder Ltd, sent to 01611 Janet Square
East Rogershire, LA 49490.","[(32, 76, 'address'), (12, 22, 'company')]"
Denise Cline,"Mastercard
Adrian Bond
2276920166895336 06/28
CVV: 064
",dana30@example.com,https://goodman.biz/,+09 0926029847,"7273 Whitaker Underpass
Patrickborough, DC 70633","Nguyen, Norris and Thompson",849-40-1239,"Reach out to Denise Cline regarding the Nguyen, Norris and Thompson audit.","[(13, 25, 'name'), (40, 67, 'company')]"
Cynthia Morris,"JCB 16 digit
Samantha Hudson
3552237561589304 05/31
CVC: 870
",kimberlykirk@example.org,http://brown-bautista.com/,+04 6633160508,"13713 Anthony Passage Suite 895
Lake Chelsea, PR 04651",Anderson LLC,704-94-2438,My email is kimberlykirk@example.org and phone is +04 6633160508.,"[(12, 36, 'email'), (50, 64, 'phone')]"
Matthew Garza,"Discover
Sandra Jones
6011430025159917 02/30
CVC: 975
",pkemp@example.org,http://www.logan-thomas.com/,+168 3798413424,"95722 Nicholson Hills Apt. 542
New Sara, DC 64404",Lyons LLC,128-11-9517,"Confirmed transaction on card Discover
Sandra Jones
6011430025159917 02/30
CVC: 975
 for Matthew Garza.","[(89, 102, 'name'), (30, 84, 'credit_card')]"
Angela Booth,"VISA 13 digit
Javier Goodman
4294520289757 10/28
CVC: 044
",kkelly@example.net,http://www.garza.org/,+91 6688386202,"0817 Maldonado Streets
Jasmineburgh, IL 91460",Jones Group,391-11-0979,Verify SSN 391-11-0979 at http://www.garza.org/.,"[(26, 47, 'url'), (11, 22, 'ssn')]"
